ID_SUBVENTION;NOM_BENEFICIAIRE;DESCRIPTION_SUBVENTION;ADRESSE_BENEFICIAIRE;PROGRAMME_PJL_FINANCE;MONTANT_SUBVENTION;PRENOM_NOM_DEPUTE_NOSDEPUTES;ID_DEPUTE_AN;ID_NOSDEPUTES;NOM_DEPUTE_NOSDEPUTES;PRENOM_DEPUTE_NOSDEPUTES;SEXE_DEPUTE;DATE_NAISSANCE_DEPUTE;LIEU_NAISSANCE_DEPUTE;ID_DEPARTEMENT;DEPARTEMENT_NOSDEPUTES;NUMERO_CIRCONSCRIPTION;DATE_DEBUT_MANDAT;DATE_FIN_MANDAT;MANDAT_CLOS;GROUPE_SIGLE;PARTI_RATTACHEMENT_FINANCIER;PROFESSION;PLACE_HEMICYCLE;URL_DEPUTE_AN;SLUG_NOSDEPUTES;URL_DEPUTE_NOSDEPUTES;API_NOSDEPUTES;NB_MANDATS
4595;Commune de LA HERELLE;Réfection d'un local municipal;;122-01;5000;;998;;;;;;;;;;;;;;;;;;;;;
4596;Commune de LA HORGNE;Réfection de la toiture de l'église et des dépendances;;122-01;3000;;267260;;;;;;;;;;;;;;;;;;;;;
4597;Commune de La Jonchère Saint Maurice;Toiture de l'école;14 Rue de Limoges - 87340 La Jonchère Saint Maurice ;122-01;6116;;609845;;;;;;;;;;;;;;;;;;;;;
4598;Commune de LA LOYERE;Travaux de voirie;71530 La Loyère;122-01;10000;;608695;;;;;;;;;;;;;;;;;;;;;
4599;Commune de LA MAGDELEINE sur TARN;rénovation extérieure des bâtiments scolaires;Mairie - 31340 LA MAGDELEINE sur TARN  ;122-01;14000;;1689;;;;;;;;;;;;;;;;;;;;;
4600;Commune de LA MALENE;Réfection d'un mur de soutènement;;122-01;1300;;266788;;;;;;;;;;;;;;;;;;;;;
4601;Commune de LA MARNE;Amélioration circulation du bourg dans le cadre du PAVE;44270 La Marne;122-01;11000;;607187;;;;;;;;;;;;;;;;;;;;;
4602;Commune de LA MEAUGON;Déplacement du plateau de l'éducation sportive;RUE DES FONTAINES;122-01;10000;;1963;;;;;;;;;;;;;;;;;;;;;
4603;Commune de LA MOLE;Travaux relatifs à l'extension du groupe scolaire;;122-01;15000;;951;;;;;;;;;;;;;;;;;;;;;
4604;Commune de La Mothe St Héray;Nouvelles Métamorphoses 2013;;224-02;1000;;345994;;;;;;;;;;;;;;;;;;;;;
